Local;ano;area;produtividade;temp_SEP;temp_OCT;temp_NOV;temp_DEC;temp_ANN;ue_SEP;ue_OCT;ue_NOV;ue_DEC;ue_ANN;ur_SEP;ur_OCT;ur_NOV;ur_DEC;ur_ANN;vv_SEP;vv_OCT;vv_NOV;vv_DEC;vv_ANN;tmax_SEP;tmax_OCT;tmax_NOV;tmax_DEC;tmax_ANN;tmin_SEP;tmin_OCT;tmin_NOV;tmin_DEC;tmin_ANN;umidsolos_SEP;umidsolos_OCT;umidsolos_NOV;umidsolos_DEC;umidsolos_ANN;tamplitude_SEP;tamplitude_OCT;tamplitude_NOV;tamplitude_DEC;tamplitude_ANN;Qo_SEP;Qo_OCT;Qo_NOV;Qo_DEC;Qo_ANN;Prec_SEP;Prec_OCT;Prec_NOV;Prec_DEC;Prec_ANN;Qg_SEP;Qg_OCT;Qg_NOV;Qg_DEC;Qg_ANN;ETP_SEP;ETP_OCT;ETP_NOV;ETP_DEC;ETP_ANN
Jaboticabal;1984;6500;4561,3;22,1;26,1;25,6;23,6;24,4;9,89;12,27;13,49;15,81;12,9;59,9;58,9;65,5;82,5;66,7;2,52;2,53;2,64;2,11;2,5;34,8;37,4;38,5;31;35,4;9,4;11,4;15,4;16,4;13,2;65;64;66;82;69,3;25,4;26;23,1;14,6;22,3;33,41;38,02;41,02;42,24;38,7;95,7;66,3;195,3;259,5;616,8;18,93;23,22;23,12;20,2;21,4;90,2;121,7;128,6;122,2;462,7
Jaboticabal;1985;7031;4535,3;25,7;27,5;24,7;25;25,7;8,61;10,07;13,43;14,83;11,7;43,8;45,4;67,9;72,8;57,5;2,95;2,59;2,3;2,12;2,5;38,8;39,6;38,1;35,5;38;14,8;14,5;14,6;16,1;15;59;59;71;72;65,3;24;25,1;23,5;19,4;23;33,37;37,98;41;42,23;38,6;18,6;63,3;213,3;189,6;484,8;19,96;24,18;25,32;25,15;23,7;105;127,8;124,1;129,4;486,3
Jaboticabal;1986;5610;4500,9;22,9;25,3;26,1;23,6;24,5;9,89;10,44;13,12;15,93;12,3;57,9;53,6;61,9;83,2;64,2;2,92;2,83;2,58;2,13;2,6;36,5;39,2;37,5;31,3;36,1;11,3;10;11,8;17,8;12,7;64;62;65;80;67,8;25,2;29,2;25,7;13,5;23,4;33,32;37,96;40,99;42,23;38,6;23,1;75,6;136,8;345,6;581,1;18,77;22,7;23,52;19,84;21,2;93,5;117,6;131;122;464,1
Jaboticabal;1987;5000;4473,5;24,4;25,4;25,1;24,1;24,8;10,68;12,82;14,47;15,87;13,5;57,1;63,4;70,9;80,9;68,1;3,26;2,59;2,47;2,05;2,6;37,6;39,2;37,3;31,4;36,4;12;13,2;16,3;15,9;14,4;61;65;71;77;68,5;25,6;26;20,9;15,6;22;33,29;37,93;40,98;42,23;38,6;78,6;101,4;205,8;191,1;576,9;18,14;21,29;24,25;23,14;21,7;99,5;117,9;126,1;124,4;467,9
Jaboticabal;1988;4000;4884,2;26,3;24,8;23,7;24,9;24,9;8,3;12,45;13,43;14,95;12,3;40,5;63,4;71,5;74,2;62,4;3,18;2,73;2,74;1,99;2,7;40,4;37,1;33,7;35,4;36,7;14,3;14,4;12,3;16,9;14,5;59;64;70;71;66;26,1;22,7;21,4;18,5;22,2;33,43;38,04;41,04;42,25;38,7;11,1;170,7;113,1;201;495,9;19,21;17,56;23,87;23,48;21;107,8;115,7;118,9;128,7;471,1
Jaboticabal;1989;4000;5140,4;22,9;24,3;24,4;23,5;23,8;11,29;10,93;13,61;15,01;12,7;63,9;58,4;69,3;79,5;67,8;2,8;3,16;2,47;2,91;2,8;36,3;36,2;36;33,7;35,6;8,7;11,2;11,9;15,1;11,7;64;62;68;78;68;27,6;24,9;24,1;18,7;23,8;33,38;38,02;41,03;42,26;38,7;74,7;74,1;210;302,1;660,9;18,21;23,71;22,5;20,64;21,3;93,6;113,1;122,6;121,7;451
Jaboticabal;1990;3900;4468,4;21,5;25,2;26,6;25,6;24,7;9,83;12,88;15,01;14,89;13,2;61,4;63,9;68,1;70,4;66;2,98;2,57;1,98;2,23;2,4;35,4;37,7;36,5;36,6;36,6;9;13,7;16,4;13,1;13,1;65;65;67;70;66,8;26,4;24;20;23,5;23,5;33,36;37,98;41;42,25;38,6;31,8;102,9;134,1;155,7;424,5;17,07;21,56;23,83;23,42;21,5;87,9;117,2;133,4;132,5;471
Jaboticabal;1991;4535;4040,3;24,6;24,3;26,5;24,5;25;8,91;12,51;12,63;15,62;12,4;47,3;65,3;59,1;78,3;62,5;2,97;2,82;2,51;2,16;2,6;37;36,9;37,3;34,8;36,5;12,9;13,2;16,7;16,8;14,9;59;67;62;74;65,5;24,2;23,7;20,6;18;21,6;33,31;37,93;41;42,22;38,6;60,9;85,2;90;267,6;503,7;18,78;20,74;24,41;21,8;21,4;100,3;113;132,9;126,7;472,9
Jaboticabal;1992;5571;3867,6;21,9;23,1;23;23,9;23;11,72;14,65;14,53;15,2;14;69,9;79,5;78,9;78,3;76,7;2,82;2,31;2,34;2,25;2,4;32,6;30,9;31;32,1;31,7;12,7;13,5;13,6;15,5;13,8;66;77;80;76;74,8;19,9;17,4;17,4;16,7;17,9;33,43;38,03;41,03;42,25;38,7;144;237,6;150;141;672,6;13,54;19,64;20,76;23,99;19,5;89,8;107,3;115,7;123,8;436,6
Jaboticabal;1993;6600;3925,3;24;24,8;26,7;24,9;25,1;11,6;12,94;13,67;15,5;13,4;62,5;64,8;62,1;76;66,4;2,51;2,42;2,56;2,45;2,5;37,1;35,2;36,5;35,4;36,1;14;9;17,4;15,3;13,9;63;66;65;71;66,3;23,1;26,1;19,1;20,1;22,1;33,38;37,99;41,01;42,23;38,7;111,3;83,1;100,5;258,6;553,5;15,72;21,89;25,85;20,89;21,1;98,3;115,6;134,2;128,8;476,9
