ano;UF;tipo;area colheita;area colhida;Q produzida;rendimento medio;valor produção
2023;Rondônia;Café (em grão) Arábica;0;0;0;0;0
2023;Rondônia;Café (em grão) Canephora;61917;61892;224669;3630;2308114
2023;Acre;Café (em grão) Arábica;0;0;0;0;0
2023;Acre;Café (em grão) Canephora;993;993;2858;2878;28093
2023;Amazonas;Café (em grão) Arábica;0;0;0;0;0
2023;Amazonas;Café (em grão) Canephora;330;329;405;1231;2949
2023;Roraima;Café (em grão) Arábica;0;0;0;0;0
2023;Roraima;Café (em grão) Canephora;0;0;0;0;0
2023;Pará;Café (em grão) Arábica;0;0;0;0;0
2023;Pará;Café (em grão) Canephora;203;203;179;882;861
2023;Amapá;Café (em grão) Arábica;0;0;0;0;0
2023;Amapá;Café (em grão) Canephora;0;0;0;0;0
2023;Tocantins;Café (em grão) Arábica;0;0;0;0;0
2023;Tocantins;Café (em grão) Canephora;0;0;0;0;0
2023;Maranhão;Café (em grão) Arábica;0;0;0;0;0
2023;Maranhão;Café (em grão) Canephora;0;0;0;0;0
2023;Piauí;Café (em grão) Arábica;0;0;0;0;0
2023;Piauí;Café (em grão) Canephora;0;0;0;0;0
2023;Ceará;Café (em grão) Arábica;1284;1284;481;375;7373
2023;Ceará;Café (em grão) Canephora;28;28;13;464;126
2023;Rio Grande do Norte;Café (em grão) Arábica;3;3;4;1333;27
2023;Rio Grande do Norte;Café (em grão) Canephora;0;0;0;0;0
2023;Paraíba;Café (em grão) Arábica;20;20;24;1200;228
2023;Paraíba;Café (em grão) Canephora;0;0;0;0;0
2023;Pernambuco;Café (em grão) Arábica;1013;1000;267;267;4343
2023;Pernambuco;Café (em grão) Canephora;0;0;0;0;0
2023;Alagoas;Café (em grão) Arábica;0;0;0;0;0
2023;Alagoas;Café (em grão) Canephora;0;0;0;0;0
2023;Sergipe;Café (em grão) Arábica;0;0;0;0;0
2023;Sergipe;Café (em grão) Canephora;0;0;0;0;0
2023;Bahia;Café (em grão) Arábica;78913;78913;94786;1201;902359
2023;Bahia;Café (em grão) Canephora;43590;43590;137711;3159;1480846
2023;Minas Gerais;Café (em grão) Arábica;1061280;1061280;1714053;1615;23947804
2023;Minas Gerais;Café (em grão) Canephora;9078;9078;21355;2352;207918
2023;Espírito Santo;Café (em grão) Arábica;136853;136853;169873;1241;2273844
